id,latter,gyroX,gyroY,gyroZ,accelX,accelY,accelZ,UserID
2567,X,-0.004537499975413084,0.052662499248981476,-0.026399999856948853,0.07239475101232529,0.6243722438812256,0.7915088534355164,8
2568,E,0.0518375001847744,0.12292499840259552,0.03423750028014183,0.043332844972610474,0.5762365460395813,0.8478889465332031,8
2569,O,0.13282500207424164,0.29878750443458557,-0.12553749978542328,-0.0005047595477662981,0.5720608234405518,0.8222991824150085,8
2570,X,-0.05472499877214432,0.05472499877214432,0.002199999988079071,0.04844162240624428,0.5896968245506287,0.7944609522819519,8
2571,C,0.009212499484419823,0.15386250615119934,0.0032999999821186066,-0.020297450944781303,0.6021475195884705,0.7517399191856384,8
2572,K,-0.0728750005364418,-0.1050499975681305,0.03739999979734421,-0.005093482788652182,0.6343603730201721,0.7878378629684448,8
2573,Z,0.028324998915195465,0.01223750039935112,-0.004124999977648258,0.03701569885015488,0.6033712029457092,0.8063915967941284,8
2574,L,-0.08772499859333038,-0.028324998915195465,-0.028599999845027924,-0.004175737965852022,0.6112179160118103,0.7918147444725037,8
2575,Q,-0.06421250104904175,-0.04221250116825104,0.00976249948143959,0.004282808396965265,0.617229163646698,0.7704924941062927,8
2576,H,0.19882500171661377,0.11343749612569809,0.08855000138282776,0.017437146976590157,0.5452473759651184,0.8177103996276855,8
2577,L,0.1966249942779541,0.18906250596046448,0.05871250107884407,0.00010707020555855706,0.5745081305503845,0.7727409601211548,8
2578,F,-0.06751249730587006,0.0611874982714653,-0.009487500414252281,0.059454552829265594,0.6060173511505127,0.7895662784576416,8
2579,S,-0.02488750033080578,0.08786249905824661,0.02461249940097332,-0.015907572582364082,0.6135581731796265,0.7746835350990295,8
2580,H,0.04963750019669533,0.14423750340938568,0.03959999978542328,-0.06057114526629448,0.6180551052093506,0.7890615463256836,8
2581,Q,0.13928750157356262,-0.005912499967962503,0.029975000768899918,-0.041497353464365005,0.6209000945091248,0.7886485457420349,8
2582,R,0.00494999997317791,0.25616249442100525,0.05444999784231186,0.05556943640112877,0.6460922360420227,0.7349146008491516,8
2583,X,-0.07699999958276749,0.11233749985694885,0.04592499881982803,0.02845008298754692,0.6026523113250732,0.8072022795677185,8
2584,I,-0.09611249715089798,-0.03891250118613243,-0.002062499988824129,0.0035639083944261074,0.6280432343482971,0.8091448545455933,8
2585,V,-0.2465374916791916,-0.2232999950647354,-0.07012499868869781,-0.04099259153008461,0.611416757106781,0.8091448545455933,8
